457 9803
160 278 76
421 390 8
171 82 59
281 402 72
45 82 33
75 174 31
282 384 90
231 439 47
292 185 71
67 229 84
329 32 92
332 121 65
209 150 58
230 59 59
230 253 70
451 344 18
379 341 12
208 70 91
234 203 94
108 241 80
449 283 10
400 435 65
243 440 41
247 156 96
277 86 88
32 15 1
214 192 35
382 413 46
267 93 41
16 414 93
441 413 35
160 355 65
53 211 70
2 62 90
278 440 92
398 259 97
190 17 11
443 244 6
455 32 94
185 222 38
23 116 53
78 137 85
345 361 70
2 371 30
72 410 13
259 130 48
254 299 75
111 393 20
302 247 44
365 95 57
373 274 94
17 243 18
134 97 49
39 370 82
398 40 50
156 346 21
84 287 13
289 8 81
347 273 20
189 114 3
248 386 97
175 73 44
58 249 12
294 209 34
305 267 8
179 167 93
27 92 86
257 1 21
358 385 77
161 382 39
101 231 62
303 407 75
26 114 61
101 90 55
176 196 52
392 47 58
247 439 78
216 56 97
205 313 47
216 117 1
66 246 100
243 132 46
36 31 29
316 241 19
112 290 87
108 146 30
437 306 23
245 453 9
385 424 9
281 5 17
294 111 52
119 299 40
110 177 24
307 34 43
388 206 88
323 330 72
234 166 23
25 352 22
211 140 2
309 218 44
90 449 37
228 236 92
401 35 71
303 140 9
75 267 54
98 75 14
195 157 80
9 268 82
93 41 6
246 332 41
397 392 51
68 28 92
331 386 38
297 167 99
146 143 43
171 441 88
228 115 20
192 262 80
392 122 82
436 199 7
192 295 89
305 261 85
399 401 49
440 83 30
375 153 49
297 12 89
81 404 69
41 415 24
40 421 81
287 110 71
169 167 36
69 25 28
261 248 28
381 239 30
198 122 12
324 315 92
415 87 93
99 104 95
299 20 81
149 192 7
128 13 77
29 96 33
178 51 67
442 435 88
448 124 73
431 252 21
449 32 49
299 296 91
433 103 14
112 58 47
122 366 27
98 230 18
448 412 28
393 109 25
128 370 50
191 211 84
13 31 83
437 323 44
56 146 19
445 316 31
309 347 15
285 18 56
218 49 39
24 355 87
450 39 50
139 89 31
219 161 8
386 182 45
321 115 96
254 204 48
241 84 8
282 319 98
248 118 23
1 164 10
16 428 16
105 121 19
186 319 79
126 156 48
344 454 47
309 303 22
455 355 60
148 441 84
143 419 56
383 158 82
99 85 92
433 70 39
360 379 80
379 430 28
383 311 7
226 326 81
374 363 20
360 150 8
92 61 50
208 149 43
43 141 17
361 451 27
415 10 70
128 446 34
147 144 92
94 6 1
134 371 6
123 315 88
117 225 12
188 221 15
112 290 35
110 374 92
276 128 91
159 255 31
144 197 64
401 169 50
119 221 100
18 3 41
72 220 38
50 231 99
384 151 58
231 332 75
342 371 78
385 381 12
300 373 91
441 322 29
427 11 54
332 343 26
89 319 57
13 100 72
287 328 26
144 13 57
47 358 2
382 2 73
360 99 76
325 196 35
305 59 100
20 202 79
349 128 56
338 316 36
327 334 96
423 77 70
181 338 2
321 289 65
77 52 16
455 149 84
337 4 32
120 226 80
373 322 53
302 49 16
431 62 69
301 247 8
331 175 16
10 104 85
314 264 14
199 430 24
9 104 35
177 340 86
59 57 89
58 257 90
376 364 59
69 222 45
135 35 22
407 25 89
302 282 83
87 306 84
424 342 18
224 277 92
392 61 96
234 353 35
342 409 51
198 43 58
114 22 68
105 266 3
436 447 36
158 63 68
59 322 86
312 122 90
150 413 58
59 95 42
154 402 55
444 154 62
216 5 12
235 59 37
450 279 74
120 4 22
208 238 29
323 51 23
267 457 14
34 306 53
134 135 59
172 182 84
432 282 73
219 397 81
395 20 73
198 93 57
284 92 27
229 343 14
380 85 9
346 212 93
303 265 59
86 219 92
117 201 9
183 104 60
176 180 60
449 145 18
409 222 2
202 162 83
343 366 55
391 157 15
70 264 72
431 375 55
310 439 80
426 227 62
291 317 22
400 293 71
456 109 15
19 413 10
243 56 4
177 246 65
79 332 93
329 25 95
191 113 22
24 195 51
154 33 53
201 331 46
119 255 91
82 34 63
238 82 14
385 63 77
284 9 92
389 170 49
175 259 86
203 249 12
269 326 18
453 357 25
243 136 54
425 125 21
293 400 69
41 49 50
49 125 48
146 229 61
399 161 33
291 149 41
88 223 58
113 66 20
52 99 29
284 42 77
374 445 58
100 365 3
262 219 72
46 241 12
220 177 46
347 124 76
269 392 86
66 326 88
125 298 47
173 387 75
244 139 43
280 181 55
101 20 63
392 4 83
82 346 97
446 393 56
69 399 26
91 390 43
292 54 21
147 130 21
269 348 25
104 169 52
293 344 25
381 16 68
359 297 76
176 305 11
59 44 48
61 366 90
435 1 12
245 35 34
96 261 54
212 68 96
370 316 76
234 199 14
18 434 95
79 194 8
187 207 70
378 354 74
115 319 96
95 158 41
166 310 50
41 168 26
142 219 2
274 209 18
58 157 24
305 370 52
382 273 51
385 237 67
125 16 56
323 164 53
284 50 41
401 371 67
437 239 28
222 324 83
224 345 64
102 143 89
396 446 81
296 174 38
355 366 97
212 289 100
16 21 65
342 357 57
83 273 36
165 327 49
258 249 84
234 123 39
6 270 49
233 335 99
450 207 35
301 310 8
112 233 46
113 62 43
310 203 51
396 1 35
187 46 42
224 368 100
189 162 47
1 370 53
267 202 27
244 24 77
403 180 68
156 22 78
243 32 19
333 371 9
363 166 52
74 131 77
339 178 3
245 54 20
173 41 18
261 393 56
432 208 88
275 90 40
207 353 48
214 127 15
455 6 76
274 48 49
74 3 85
385 172 94
329 139 12
254 53 53
254 428 11
39 314 4
257 199 30
303 425 59
124 11 77
334 438 25
386 422 95
440 242 71
200 144 85
450 421 1
327 358 56
299 420 13
335 272 28
57 312 66
168 185 56
321 138 38
23 216 45
211 457 95
367 335 37
33 131 61
423 453 98
206 74 31
45 79 53
346 306 4
237 47 94
246 39 45
313 157 82
279 268 33
227 280 76
178 139 61
307 172 45
362 43 24
417 108 98
284 357 56
413 350 98
184 12 92
13 244 98
338 143 10
392 75 4
153 226 45
215 387 89
159 154 78
38 365 13
46 45 75
440 2 50
34 428 37
195 151 42
299 426 79
353 122 33
43 416 60
168 399 43
267 351 56
4 210 89
297 209 86
19 307 89
297 407 44
320 214 20
443 334 50
371 426 5
134 194 67
272 147 51
141 288 38
108 41 40
384 342 60
121 218 38
110 59 71
301 378 19
15 316 14
124 361 58
378 32 43
56 119 20
384 255 56
220 17 53
376 127 29
232 388 72
267 78 18
314 216 17
96 209 1
202 164 100
320 322 39
296 302 79
418 206 67
311 79 25
289 377 26
112 227 21
208 131 8
326 387 55
424 59 85
226 283 98
144 21 4
274 445 28
256 228 21
111 38 29
318 44 71
381 356 8
111 200 100
382 363 53
221 109 28
32 413 17
401 275 89
290 331 89
23 410 95
398 238 40
171 51 26
430 253 48
130 416 93
50 163 18
429 415 60
397 158 65
273 65 20
2 355 41
337 355 21
113 216 29
224 94 45
344 142 94
59 396 25
413 150 97
306 211 64
393 159 84
54 119 84
136 436 73
299 199 39
399 159 57
341 71 72
398 217 80
122 184 56
135 191 79
411 168 7
325 215 56
447 171 18
27 114 17
167 444 33
418 132 41
17 397 27
175 237 61
50 215 65
444 124 72
284 3 51
385 370 30
386 425 32
271 212 12
173 114 57
66 15 94
70 228 25
430 390 19
146 170 45
416 324 7
441 96 54
26 412 14
386 130 88
91 306 50
191 4 98
423 44 4
110 151 42
432 148 82
346 120 60
223 455 79
34 284 79
315 441 42
294 274 30
454 170 40
366 188 87
316 374 34
137 457 98
206 84 52
271 187 72
373 355 67
392 47 52
427 349 78
101 446 86
75 19 42
324 291 96
35 325 41
365 287 16
292 422 100
148 437 57
103 58 84
443 294 79
42 173 68
424 24 90
444 135 51
67 167 94
129 426 27
6 390 82
359 405 6
39 249 15
345 107 58
366 322 25
5 420 24
332 30 93
203 46 64
80 201 63
338 48 16
64 431 86
283 128 17
284 299 14
388 285 77
392 207 64
315 8 11
381 35 6
385 153 80
27 185 19
452 384 50
271 148 95
177 280 35
130 373 100
207 119 71
142 143 32
356 22 54
411 148 100
172 159 23
247 411 19
424 426 8
371 408 50
307 310 62
66 159 67
229 81 96
11 252 77
46 56 63
404 274 20
154 206 73
146 250 43
264 226 79
36 391 5
287 50 7
68 36 51
102 13 82
148 135 45
352 204 47
425 250 34
322 429 49
9 400 4
365 41 43
377 240 74
427 226 18
273 206 76
188 158 42
105 227 89
436 452 56
242 211 33
207 43 78
34 453 83
162 221 8
68 367 40
229 76 23
234 76 88
67 144 52
198 101 4
370 92 40
81 107 43
67 90 46
146 405 40
1 25 61
36 91 27
73 47 81
356 165 37
84 257 94
281 370 62
289 279 33
415 163 55
1 457 44
172 169 80
339 374 85
431 337 16
262 35 32
450 19 86
91 348 88
388 298 23
275 76 19
437 457 14
53 376 23
106 419 46
82 266 22
358 294 4
46 142 13
308 118 47
26 208 71
281 434 87
301 296 44
362 350 44
191 365 3
89 407 35
234 153 59
244 3 80
277 380 73
293 259 13
144 228 23
430 38 35
149 182 17
161 344 44
104 253 33
28 181 25
168 440 80
334 9 81
48 46 63
133 289 96
401 141 78
124 96 65
12 127 90
22 337 48
77 91 60
265 305 69
99 454 87
158 301 21
44 18 70
189 442 41
376 261 35
149 354 33
122 457 1
132 404 45
81 330 4
457 199 18
121 435 77
280 438 62
350 84 13
269 64 98
71 77 8
427 183 66
58 228 7
57 211 78
417 455 46
408 38 14
331 160 65
192 158 80
214 125 5
407 406 5
116 46 1
395 323 31
219 392 18
429 55 27
200 338 18
422 269 73
107 282 76
265 400 90
170 362 21
220 68 16
375 48 99
202 43 56
425 120 79
376 180 7
445 98 19
417 283 18
343 455 56
235 164 27
101 421 94
216 289 95
124 52 32
351 254 38
433 284 56
168 349 83
116 376 54
23 193 77
138 45 49
180 76 52
386 390 82
209 242 42
245 332 48
156 82 49
88 143 29
392 64 86
286 186 9
292 316 45
92 189 14
50 162 10
221 139 77
405 34 11
371 129 39
387 28 41
56 448 10
437 49 69
124 423 47
441 264 25
73 248 30
286 234 58
69 373 74
149 13 53
262 14 53
29 170 30
274 354 86
339 140 13
416 299 87
250 10 18
53 282 100
295 178 14
211 396 51
132 205 23
369 56 58
192 55 95
283 435 71
165 250 11
358 454 70
326 161 91
284 149 29
220 82 59
154 35 12
409 371 75
398 391 38
85 440 11
263 343 76
165 455 75
370 431 71
395 74 100
114 208 10
211 126 38
442 121 59
362 207 91
223 228 51
295 216 53
146 85 52
23 204 52
367 238 8
427 425 24
431 20 5
107 427 43
85 343 19
90 71 52
243 24 50
215 171 6
292 395 38
452 316 19
328 329 20
393 179 67
45 426 82
115 212 11
42 311 46
305 145 20
383 344 100
322 280 27
172 216 93
225 167 90
433 346 90
200 123 74
354 165 80
148 449 92
369 150 2
279 379 14
172 94 90
361 26 37
406 55 25
326 173 59
445 254 46
345 221 4
415 114 35
234 133 83
125 7 68
377 305 20
171 210 62
104 17 23
93 76 63
318 156 60
91 179 63
133 274 77
328 177 11
137 194 82
267 131 49
209 446 74
191 431 72
290 106 37
62 229 59
16 36 49
288 128 18
177 208 37
31 157 17
427 107 22
78 234 43
422 372 49
402 265 9
8 55 84
306 280 22
238 278 57
436 353 70
376 112 59
393 440 45
263 429 14
260 412 34
428 228 40
303 87 21
192 205 88
147 275 40
457 208 82
137 271 55
342 124 18
412 411 89
383 53 91
358 364 39
439 260 57
360 247 11
408 89 31
242 251 65
148 254 48
34 92 23
296 248 76
7 76 4
179 287 83
289 104 10
341 142 58
79 445 69
70 6 4
59 332 71
432 19 33
392 135 8
93 20 17
378 80 20
145 336 4
148 108 98
122 399 42
314 412 42
178 144 47
107 1 51
192 424 22
217 333 97
336 377 70
298 312 41
68 347 25
230 452 79
199 42 90
374 101 37
387 443 87
102 248 53
361 314 36
154 1 29
322 331 100
296 172 83
369 333 97
2 40 35
244 436 5
332 177 74
68 81 29
341 179 78
389 137 83
25 427 14
6 53 79
368 186 54
3 417 99
91 210 73
52 398 13
425 131 6
274 63 27
308 243 65
60 97 46
124 205 28
196 48 7
44 411 39
300 26 7
33 409 8
385 117 28
64 32 30
10 153 11
21 146 54
239 118 94
134 238 5
218 95 96
206 145 58
329 289 19
425 32 88
449 282 64
188 199 18
5 129 14
167 291 8
323 217 75
237 263 39
200 268 82
306 236 85
95 203 3
85 8 22
83 362 85
247 121 65
218 161 81
219 400 81
125 112 78
183 209 87
31 397 80
352 64 52
130 233 51
178 292 29
157 193 35
315 275 27
69 189 4
428 254 17
164 284 99
267 33 16
64 294 25
178 117 40
53 409 24
424 404 34
147 101 24
315 279 8
453 137 38
246 289 9
285 313 38
13 430 48
175 202 82
52 271 88
189 418 17
453 325 19
28 440 10
248 280 88
177 286 34
378 244 65
168 8 94
319 291 30
170 344 24
31 192 4
97 365 58
85 29 33
311 401 99
59 241 65
331 179 64
418 40 40
162 251 87
416 420 70
329 305 12
7 87 38
434 278 89
157 408 58
167 70 17
25 296 80
290 242 12
64 235 92
221 118 8
67 261 7
393 428 70
28 430 71
177 32 64
128 115 67
230 298 8
288 286 42
232 65 89
115 255 31
329 358 13
202 362 18
147 293 8
252 125 55
186 105 87
292 341 96
310 135 90
15 65 99
425 174 34
201 357 63
339 29 75
124 70 90
6 149 73
70 448 83
118 112 26
229 9 8
400 93 39
303 372 13
3 317 72
422 456 95
307 130 7
212 57 71
167 245 11
280 389 14
322 267 24
25 180 2
284 398 60
252 282 51
227 214 49
261 207 70
363 359 64
196 362 84
118 129 22
166 357 88
185 176 24
174 3 11
390 378 88
143 212 32
135 342 71
341 376 27
345 37 35
339 361 39
370 66 54
270 16 31
252 93 15
78 280 42
314 445 7
52 414 61
444 245 87
319 56 12
74 330 94
421 454 35
182 131 38
307 141 72
50 187 86
103 156 30
167 376 46
211 7 31
31 205 61
29 276 27
300 45 92
151 309 15
77 32 9
269 325 27
321 261 85
263 313 20
90 357 53
42 431 53
244 398 96
242 408 24
310 278 72
37 94 95
308 367 32
200 28 77
239 193 84
65 9 47
240 30 28
53 323 89
94 383 26
449 95 79
392 428 61
423 220 55
222 203 3
2 335 83
2 38 94
124 114 44
415 114 8
184 67 22
134 115 99
105 403 43
185 113 91
239 270 62
267 244 25
312 424 77
150 123 5
175 294 20
455 257 7
280 268 9
9 283 58
305 83 70
120 314 92
106 24 45
349 126 24
86 378 7
13 113 12
321 369 83
123 258 33
448 147 11
108 437 91
58 92 48
21 217 26
11 417 80
215 431 83
120 425 63
403 33 22
143 123 87
90 296 28
17 164 6
171 316 35
96 429 20
195 35 98
42 408 40
390 219 50
10 301 93
208 116 63
294 39 72
36 407 29
453 377 45
185 256 29
132 9 1
324 43 49
376 211 37
14 405 38
393 212 51
317 416 16
378 31 56
357 207 18
207 230 34
15 90 26
270 261 94
33 307 40
321 146 49
246 378 20
430 402 29
391 225 97
19 373 22
183 81 73
392 398 22
200 21 95
85 86 80
1 160 98
48 105 75
105 197 86
99 175 5
201 124 49
317 349 23
15 392 28
216 178 78
434 242 50
413 16 18
398 33 45
10 162 11
214 32 10
376 145 69
361 223 86
167 85 27
277 455 25
130 371 22
351 414 44
40 1 89
56 75 27
439 263 53
233 321 58
317 210 49
30 300 92
344 12 15
94 101 71
354 216 84
75 321 18
413 215 91
438 256 25
233 147 3
249 456 70
395 186 96
126 310 96
118 176 27
166 388 88
52 127 84
336 303 42
143 322 89
66 320 42
307 133 53
111 244 54
39 206 18
245 314 61
158 457 29
142 141 52
342 384 23
120 1 18
17 29 95
90 364 33
80 341 84
210 219 88
374 256 5
212 204 36
19 418 49
194 202 12
369 449 82
356 124 76
187 50 18
171 274 45
173 288 32
157 77 97
6 25 91
85 59 37
262 233 41
324 29 70
268 77 83
421 354 7
431 278 21
296 228 86
237 38 26
18 98 95
153 336 98
255 395 29
379 253 98
423 320 97
130 8 65
444 407 57
404 395 43
284 265 87
336 352 99
175 38 48
332 108 23
334 404 74
216 69 68
147 157 44
180 16 21
50 3 1
304 212 51
424 302 87
239 56 51
284 368 83
259 121 70
155 285 99
129 284 40
406 157 57
27 59 35
435 415 11
200 310 51
420 85 89
181 149 31
104 422 82
157 98 44
311 128 60
322 420 28
246 109 14
303 149 9
42 249 76
348 47 91
270 109 51
235 386 6
357 25 51
370 416 76
191 219 30
264 1 42
57 110 46
68 75 29
11 62 22
238 272 41
450 111 10
307 262 72
220 102 83
433 316 36
226 283 22
393 199 80
207 155 97
418 298 1
224 116 9
219 97 18
103 450 41
356 123 58
385 295 66
312 254 4
156 257 89
230 96 74
331 272 44
10 354 14
188 290 39
126 373 11
234 186 57
29 183 80
49 179 76
352 276 67
248 251 52
128 402 80
80 335 15
366 369 79
375 101 82
217 320 49
341 415 46
133 340 6
306 256 89
448 258 17
398 423 7
98 82 28
400 96 72
425 95 69
417 177 21
122 419 33
344 280 86
358 228 93
294 74 17
152 74 69
339 129 28
370 67 51
382 395 21
203 302 3
336 419 7
333 330 7
319 403 14
317 273 23
244 358 23
268 177 76
14 333 59
388 116 48
230 208 78
364 394 81
215 311 88
178 14 3
73 14 65
411 191 11
170 223 96
309 450 66
18 272 31
373 250 81
138 238 63
6 221 59
447 6 13
238 68 55
179 273 46
191 127 4
220 314 61
201 70 77
392 380 8
348 239 64
313 137 18
416 237 48
269 128 55
391 115 24
248 332 100
411 212 29
4 2 37
328 335 74
246 31 41
388 13 31
334 131 52
276 439 19
353 341 65
251 323 18
14 191 85
60 228 41
292 403 25
179 258 80
457 241 13
349 328 21
370 132 84
353 102 6
103 228 37
65 163 42
408 188 4
77 340 13
304 320 4
46 157 18
203 326 64
8 167 62
222 28 19
410 229 100
7 256 27
153 264 59
270 456 63
355 9 87
339 437 39
287 400 46
42 23 59
359 103 16
287 386 11
424 219 40
285 145 54
120 163 46
298 232 26
413 150 54
341 126 72
63 120 68
187 277 24
210 425 22
423 103 98
220 55 19
81 332 70
271 144 22
432 256 89
246 338 11
387 279 68
83 342 69
151 218 27
80 124 63
36 84 78
370 415 61
60 253 8
80 75 59
417 279 19
358 384 31
79 414 89
418 151 34
70 207 66
236 428 38
143 24 48
71 271 17
410 209 35
224 301 47
367 265 56
122 174 64
217 382 42
213 413 25
372 136 52
388 229 16
446 109 79
71 29 42
395 304 23
300 148 91
38 398 73
449 451 5
119 437 7
326 358 30
92 263 68
90 14 72
81 408 98
339 347 85
203 150 28
16 413 14
147 90 9
261 422 27
372 88 18
40 21 41
412 305 66
71 291 67
94 197 69
39 355 1
450 354 44
48 321 59
71 454 47
322 336 98
94 289 99
160 108 5
270 383 48
310 365 32
67 169 72
138 398 85
334 6 45
262 349 46
437 362 10
102 248 95
237 36 67
130 160 28
8 337 65
12 109 47
179 235 29
247 3 17
181 318 37
437 163 35
98 314 67
257 65 59
314 225 2
39 63 24
7 185 84
75 174 93
451 412 95
142 352 69
63 429 20
452 299 41
306 382 44
299 224 96
447 414 3
321 369 42
448 254 90
449 260 63
325 110 41
334 9 66
168 390 50
60 81 88
119 379 91
136 400 77
60 360 28
52 32 64
248 129 1
252 115 32
291 334 68
147 123 68
241 121 4
403 332 94
51 196 61
50 402 2
438 322 90
173 42 24
455 7 55
173 271 87
291 439 63
120 93 53
431 298 40
33 29 77
8 261 28
260 235 61
264 210 54
76 322 35
271 407 79
37 50 98
330 255 58
350 3 61
281 101 31
7 36 37
364 113 75
240 436 93
428 139 91
449 408 77
427 79 74
260 283 58
142 414 36
330 233 39
367 222 56
238 445 70
10 327 42
437 234 93
310 292 66
57 322 2
300 11 78
279 21 43
210 156 59
182 174 27
313 40 7
306 381 38
299 344 35
77 171 1
29 414 16
181 111 98
62 320 89
331 8 95
158 438 45
75 369 9
149 382 63
184 376 22
415 295 86
135 321 79
193 141 73
151 180 25
123 264 37
303 251 36
230 102 38
89 50 66
227 424 21
26 178 90
322 135 21
189 337 27
41 309 42
273 137 89
139 375 31
269 94 84
94 323 11
80 194 96
190 387 88
331 151 8
93 416 56
229 150 97
263 227 31
401 69 76
242 332 99
159 412 84
230 338 28
166 128 66
391 154 30
446 346 61
144 447 19
360 156 93
166 41 43
126 452 84
438 377 48
111 354 18
256 78 74
329 33 78
204 288 99
290 87 62
10 13 54
24 351 51
403 30 93
404 114 20
210 266 90
298 332 85
378 291 48
393 230 23
390 312 11
110 152 85
58 100 70
85 28 57
284 269 98
197 346 71
364 141 95
94 267 65
161 380 37
249 62 20
114 411 54
130 54 51
229 72 96
290 32 17
10 169 20
196 106 30
228 350 38
346 428 73
376 256 26
9 25 70
256 294 54
43 67 9
73 111 73
175 160 69
409 152 73
112 426 78
331 216 47
292 376 14
310 214 86
258 338 83
446 57 33
430 367 49
13 171 19
108 237 64
74 381 63
258 418 24
70 30 51
280 236 55
273 203 27
366 319 45
395 8 64
397 142 72
161 46 35
448 332 56
2 95 43
262 145 17
12 286 85
217 234 35
113 33 98
179 46 99
295 167 24
211 172 88
399 365 48
392 41 85
246 103 76
141 200 66
188 314 1
73 364 46
148 124 3
217 274 28
235 202 90
260 412 4
22 24 87
424 78 2
123 145 21
237 66 85
401 22 50
149 213 34
228 435 17
411 158 6
34 149 81
34 2 17
267 296 51
227 2 28
226 192 35
395 1 14
291 237 18
166 98 56
305 245 1
249 435 73
427 279 87
303 314 65
445 287 2
110 274 22
111 265 32
441 424 84
333 369 58
170 370 45
378 111 9
351 353 54
217 286 93
7 353 87
275 61 99
429 438 76
53 1 61
338 214 44
247 121 23
161 180 34
454 138 81
414 437 27
83 28 33
443 225 27
329 34 70
383 108 74
246 91 97
261 411 54
351 48 41
152 365 86
218 368 29
21 265 91
435 103 11
308 179 93
88 143 99
220 44 77
259 348 1
152 265 44
205 145 69
366 412 71
332 60 78
34 264 77
218 180 31
228 432 20
15 418 67
69 154 20
301 413 58
261 270 88
235 213 52
31 294 55
129 57 64
304 114 70
6 78 99
398 371 82
410 272 28
404 437 75
344 33 5
394 252 71
159 445 42
12 8 37
392 110 60
274 189 6
138 394 18
157 346 4
377 146 5
232 456 76
331 144 83
314 74 34
365 360 52
422 29 45
414 380 37
390 270 36
237 36 98
431 345 38
143 310 34
263 342 48
193 205 81
225 188 28
16 239 39
264 324 32
45 140 63
362 368 27
272 206 60
333 378 62
455 349 51
20 353 99
120 55 47
221 384 26
128 154 31
310 154 12
390 250 40
171 15 6
395 56 74
439 292 92
420 113 11
420 195 36
289 38 39
243 326 55
432 267 9
278 329 54
376 304 84
407 242 10
299 94 23
126 197 91
81 21 39
279 216 63
389 106 50
374 55 96
389 114 30
401 114 28
205 444 43
336 79 84
367 183 80
139 439 84
7 112 20
98 200 46
85 405 42
229 54 2
51 145 25
419 402 97
185 370 68
438 250 97
